card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC on FX: Sotiropoulos vs Pearson,Mike Pierce,33%,48,12,6,Seth Baczynski,32%,106,0,0,December 14 2012,"Gold Coast, Queensland, Australia",3,3,Welterweight,Mike Pierce,U-DEC
UFC on FX: Sotiropoulos vs Pearson,Ben Alloway,61%,26,0,0,Manuel Rodriguez,33%,12,4,3,December 14 2012,"Gold Coast, Queensland, Australia",3,1,Welterweight,Ben Alloway,KO/TKO
UFC on FX: Sotiropoulos vs Pearson,Mike Wilkinson,63%,119,2,0,Brendan Loughnane,33%,159,12,1,December 14 2012,"Gold Coast, Queensland, Australia",3,3,Lightweight,Mike Wilkinson,U-DEC
UFC on FX: Sotiropoulos vs Pearson,Chad Mendes,76%,13,0,0,Yaotzin Meza,13%,15,0,0,December 14 2012,"Gold Coast, Queensland, Australia",3,1,Featherweight,Chad Mendes,KO/TKO
UFC on FX: Sotiropoulos vs Pearson,Hector Lombard,52%,46,0,0,Rousimar Palhares,46%,13,0,0,December 14 2012,"Gold Coast, Queensland, Australia",3,1,Middleweight,Hector Lombard,KO/TKO
UFC Macao: Franklin vs Le,John Lineker,39%,158,1,0,Yasuhiro Urushitani,34%,224,0,0,November 10 2012,"Macau, China",3,3,Flyweight,John Lineker,U-DEC
UFC on FX: Sotiropoulos vs Pearson,Norman Parke,39%,141,0,0,Colin Fletcher,42%,98,9,6,December 14 2012,"Gold Coast, Queensland, Australia",3,3,Lightweight,Norman Parke,U-DEC
UFC on FX: Sotiropoulos vs Pearson,Igor Pokrajac,51%,94,2,0,Joey Beltran,46%,139,3,0,December 14 2012,"Gold Coast, Queensland, Australia",3,3,Light Heavyweight,Igor Pokrajac,Overturned
UFC Macao: Franklin vs Le,Takeya Mizugaki,56%,112,4,4,Jeff Hougland,56%,25,7,1,November 10 2012,"Macau, China",3,3,Bantamweight,Takeya Mizugaki,U-DEC
UFC Macao: Franklin vs Le,Alex Caceres,51%,124,0,0,Motonobu Tezuka,29%,75,12,2,November 10 2012,"Macau, China",3,3,Bantamweight,Alex Caceres,S-DEC
